City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,tuktoyaktuk,69.4541,-133.0374,-18.819999999999965,88,13,4.27,CA,1680390849
102,rjukan,59.8789,8.5941,-6.269999999999982,81,12,2.4,NO,1680390888
103,san francisco,37.7749,-122.4194,18.620000000000005,64,20,7.2,US,1680390852
104,kieta,-6.2167,155.6333,28.77000000000004,70,86,1.55,PG,1680390816
105,chokurdakh,70.6333,147.9167,-28.24999999999997,98,99,3.46,RU,1680390843
106,zonguldak,41.25,31.8333,9.439999999999998,76,71,2.33,TR,1680390889
107,necochea,-38.5473,-58.7368,14.990000000000009,52,62,4.32,AR,1680390889
108,paka,4.6374,103.4368,24.100000000000023,92,100,1.86,MY,1680390890
109,north battleford,52.7834,-108.2847,-3.109999999999957,93,75,4.63,CA,1680390890
110,grindavik,63.8424,-22.4338,4.260000000000048,70,75,12.86,IS,1680390828
111,narasannapeta,18.4167,84.05,26.03000000000003,87,50,3.0,IN,1680390890
112,qom,34.6401,50.8764,9.050000000000011,37,0,2.33,IR,1680390890
113,esna,25.2934,32.554,18.08000000000004,26,0,4.14,EG,1680390891
114,koutsouras,35.0339,25.9469,16.730000000000018,82,53,4.68,GR,1680390891
115,nome,64.5011,-165.4064,-0.46999999999997044,93,100,8.23,US,1680390830
116,khatanga,71.9667,102.5,-6.769999999999982,92,100,9.07,RU,1680390832
117,damnagar,21.7,71.5167,24.53000000000003,60,1,4.9,IN,1680390892
118,nyahururu,0.0421,36.3673,12.510000000000048,81,84,0.6,KE,1680390892
119,lagoa,39.05,-27.9833,15.830000000000041,92,84,11.47,PT,1680390862
120,boyuibe,-20.4167,-63.2833,22.54000000000002,75,65,0.98,BO,1680390670
121,bambous virieux,-20.3428,57.7575,24.560000000000002,80,13,3.01,MU,1680390810
122,almaznyy,48.0448,40.045,3.390000000000043,76,3,2.27,RU,1680390893
123,saint-philippe,-21.3585,55.7679,23.77000000000004,83,45,5.09,RE,1680390836
124,carnarvon,-24.8667,113.6333,23.640000000000043,78,56,5.44,AU,1680390835
125,nsanje,-16.92,35.262,20.77000000000004,97,100,0.56,MW,1680390743
126,comodoro rivadavia,-45.8667,-67.5,18.920000000000016,24,0,7.2,AR,1680390893
127,provideniya,64.3833,-173.3,-7.769999999999982,87,98,4.03,RU,1680390808
128,menongue,-14.6585,17.691,17.870000000000005,91,95,1.15,AO,1680390894
129,ponta do sol,32.6667,-17.1,18.400000000000034,53,0,2.64,PT,1680390742
130,port alfred,-33.5906,26.891,19.54000000000002,89,41,0.45,ZA,1680390817
131,oskarshamn,57.2645,16.4484,-0.009999999999990905,79,5,6.53,SE,1680390894
132,pangnirtung,66.1451,-65.7125,-18.149999999999977,83,73,3.44,CA,1680390672
133,new norfolk,-42.7826,147.0587,14.720000000000027,73,100,0.45,AU,1680390816
134,cap malheureux,-19.9842,57.6142,24.700000000000045,79,4,0.89,MU,1680390895
135,moose factory,51.2585,-80.6094,-13.139999999999986,85,59,2.84,CA,1680390818
136,esperance,-33.8667,121.9,17.950000000000045,85,100,5.38,AU,1680390832
137,hermanus,-34.4187,19.2345,16.560000000000002,88,1,3.92,ZA,1680390823
138,pevek,69.7008,170.3133,-23.649999999999977,92,100,4.08,RU,1680390845
139,dingle,10.9995,122.6711,25.350000000000023,85,100,2.15,PH,1680390811
140,bouza,14.4229,6.0428,24.930000000000007,11,100,3.88,NE,1680390896
141,baykit,61.67,96.37,-23.399999999999977,100,91,0.91,RU,1680390896
142,ushtobe,45.2514,77.9838,-5.029999999999973,39,0,9.31,KZ,1680390896
143,iquitos,-3.7481,-73.2472,25.02000000000004,88,40,0.51,PE,1680390896
144,saskylakh,71.9167,114.0833,-7.989999999999952,88,100,7.19,RU,1680390853
145,hasaki,35.7333,140.8333,14.560000000000002,58,61,6.41,JP,1680390867
146,nivala,63.9167,24.9667,-10.149999999999977,96,47,2.09,FI,1680390897
147,dongsheng,39.8161,109.9776,9.330000000000041,81,100,9.36,CN,1680390897
148,bela,25.9333,81.9833,21.189999999999998,62,7,0.97,IN,1680390898
149,san lorenzo,-25.3333,-57.5333,26.52000000000004,74,0,3.09,PY,1680390898
150,bambanglipuro,-7.95,110.2833,23.83000000000004,87,100,1.87,ID,1680390898
151,tagusao,9.1924,117.8141,25.900000000000034,81,100,1.31,PH,1680390899
152,eslov,55.8393,13.3039,2.0100000000000477,73,0,4.72,SE,1680390899
153,sur,22.5667,59.5289,26.03000000000003,61,4,4.31,OM,1680390899
154,junction city,39.0286,-96.8314,16.980000000000018,24,0,4.12,US,1680390695
155,harer,9.3094,42.1258,16.25,84,98,0.25,ET,1680390900
156,elat,29.5581,34.9482,16.910000000000025,48,0,5.14,IL,1680390811
157,kaitangata,-46.2817,169.8464,12.180000000000007,89,87,4.79,NZ,1680390861
158,staraya mayna,54.6,48.95,2.0600000000000023,77,100,2.81,RU,1680390902
159,nanakuli,21.3906,-158.1547,26.970000000000027,62,0,3.09,US,1680390820
160,tiksi,71.6872,128.8694,-15.989999999999952,80,97,11.84,RU,1680390817
161,luau,-10.7073,22.2247,17.810000000000002,98,96,1.08,AO,1680390903
162,saldanha,-33.0117,17.9442,16.480000000000018,90,0,4.37,ZA,1680390842
163,bulgan,48.8125,103.5347,-14.039999999999964,71,100,5.13,MN,1680390905
164,sao filipe,14.8961,-24.4956,26.629999999999995,50,0,1.8,CV,1680390861
165,geilo,60.5333,8.2076,-10.339999999999975,61,13,3.0,NO,1680390906
166,saint george,37.1041,-113.5841,20.24000000000001,25,0,2.57,US,1680390718
167,lutry,46.5024,6.6865,8.82000000000005,89,100,1.97,CH,1680390907
168,lubango,-14.9172,13.4925,14.720000000000027,98,94,0.68,AO,1680390907
169,souillac,-20.5167,57.5167,24.620000000000005,83,5,2.95,MU,1680390894
170,aklavik,68.2191,-135.0107,-12.699999999999989,82,94,1.83,CA,1680390846
171,fairbanks,64.8378,-147.7164,-1.329999999999984,51,40,5.14,US,1680390831
172,devrek,41.2192,31.9558,11.450000000000045,79,73,2.65,TR,1680390908
173,port alberni,49.2413,-124.8028,9.510000000000048,86,78,2.68,CA,1680390752
174,temiscaming,46.7212,-79.0971,-6.019999999999982,85,100,7.61,CA,1680390908
175,los llanos de aridane,28.6585,-17.9182,16.860000000000014,88,0,6.69,ES,1680390908
176,ranong,9.9658,98.6348,24.53000000000003,88,26,1.49,TH,1680390908
177,qeshm,26.9581,56.2719,22.939999999999998,72,18,12.0,IR,1680390909
178,zyryanovsk,49.7386,84.2719,-14.95999999999998,89,3,0.97,KZ,1680390909
179,anloga,5.7947,0.8973,27.900000000000034,80,95,5.43,GH,1680390909
180,kisangani,0.5167,25.2,21.03000000000003,91,95,1.48,CD,1680390909
181,tasiilaq,65.6145,-37.6368,-1.9099999999999682,85,100,1.07,GL,1680390835
182,isangel,-19.55,169.2667,29.230000000000018,68,5,1.86,VU,1680390910
183,astara,38.5,48.6667,4.990000000000009,86,99,1.62,AZ,1680390910
184,nurota,40.5614,65.6886,18.200000000000045,45,99,5.74,UZ,1680390910
185,petropavlovsk-kamchatskiy,53.0452,158.6483,1.330000000000041,64,0,2.0,RU,1680390863
186,miles city,46.4083,-105.8406,14.54000000000002,26,0,6.17,US,1680390911
187,providencia,28.7167,-111.5833,29.0,27,3,6.36,MX,1680390911
188,rock springs,41.5875,-109.2029,8.689999999999998,34,20,7.72,US,1680390911
189,inhambane,-23.865,35.3833,22.689999999999998,88,3,2.69,MZ,1680390884
